INFO:root:Number of parameters: 369498
INFO:root:196: Acc-tr: 100.00, Acc-val:   9.90, L-tr: 0.0010, L-val: 8.0856
INFO:root:197: Acc-tr: 100.00, Acc-val:   9.80, L-tr: 0.0011, L-val: 8.0533
INFO:root:198: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0011, L-val: 8.0568
INFO:root:199: Acc-tr: 100.00, Acc-val:   9.94, L-tr: 0.0010, L-val: 8.0458
INFO:root:200: Acc-tr: 100.00, Acc-val:   9.95, L-tr: 0.0010, L-val: 8.0640
INFO:root:201: Acc-tr: 100.00, Acc-val:   9.94, L-tr: 0.0011, L-val: 8.0250
INFO:root:202: Acc-tr: 100.00, Acc-val:   9.99, L-tr: 0.0010, L-val: 8.0607
INFO:root:203: Acc-tr: 100.00, Acc-val:   9.98, L-tr: 0.0010, L-val: 8.0453
INFO:root:204: Acc-tr: 100.00, Acc-val:   9.77, L-tr: 0.0010, L-val: 8.0606
INFO:root:205: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0009, L-val: 8.0447
INFO:root:206: Acc-tr: 100.00, Acc-val:   9.96, L-tr: 0.0010, L-val: 8.0456
INFO:root:207: Acc-tr: 100.00, Acc-val:   9.99, L-tr: 0.0009, L-val: 8.0341
INFO:root:208: Acc-tr: 100.00, Acc-val:   9.99, L-tr: 0.0009, L-val: 8.0839
INFO:root:209: Acc-tr: 100.00, Acc-val:   9.92, L-tr: 0.0009, L-val: 8.0310
INFO:root:210: Acc-tr: 100.00, Acc-val:   9.90, L-tr: 0.0009, L-val: 8.0056
INFO:root:211: Acc-tr: 100.00, Acc-val:   9.92, L-tr: 0.0009, L-val: 8.0042
INFO:root:212: Acc-tr: 100.00, Acc-val:  10.02, L-tr: 0.0009, L-val: 7.9643
INFO:root:213: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0009, L-val: 7.9845
INFO:root:214: Acc-tr: 100.00, Acc-val:   9.97, L-tr: 0.0009, L-val: 7.9603
INFO:root:215: Acc-tr: 100.00, Acc-val:   9.90, L-tr: 0.0009, L-val: 8.0055
INFO:root:216: Acc-tr: 100.00, Acc-val:   9.76, L-tr: 0.0009, L-val: 7.9959
INFO:root:217: Acc-tr: 100.00, Acc-val:   9.91, L-tr: 0.0010, L-val: 7.9290
INFO:root:218: Acc-tr: 100.00, Acc-val:  10.05, L-tr: 0.0009, L-val: 7.9386
INFO:root:219: Acc-tr: 100.00, Acc-val:  10.13, L-tr: 0.0009, L-val: 7.8953
INFO:root:220: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0009, L-val: 7.9267
INFO:root:221: Acc-tr: 100.00, Acc-val:   9.97, L-tr: 0.0009, L-val: 7.9085
INFO:root:222: Acc-tr: 100.00, Acc-val:   9.88, L-tr: 0.0008, L-val: 7.9076
INFO:root:223: Acc-tr: 100.00, Acc-val:   9.76, L-tr: 0.0008, L-val: 7.8976
INFO:root:224: Acc-tr: 100.00, Acc-val:   9.70, L-tr: 0.0009, L-val: 7.8694
INFO:root:225: Acc-tr: 100.00, Acc-val:   9.80, L-tr: 0.0009, L-val: 7.9030
INFO:root:226: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0009, L-val: 7.8845
INFO:root:227: Acc-tr: 100.00, Acc-val:   9.70, L-tr: 0.0009, L-val: 7.9141
INFO:root:228: Acc-tr: 100.00, Acc-val:   9.81, L-tr: 0.0009, L-val: 7.9267
INFO:root:229: Acc-tr: 100.00, Acc-val:   9.95, L-tr: 0.0008, L-val: 7.8798
INFO:root:230: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0009, L-val: 7.8654
INFO:root:231: Acc-tr: 100.00, Acc-val:   9.57, L-tr: 0.0009, L-val: 7.9154
INFO:root:232: Acc-tr: 100.00, Acc-val:   9.71, L-tr: 0.0008, L-val: 7.9215
INFO:root:233: Acc-tr: 100.00, Acc-val:   9.88, L-tr: 0.0009, L-val: 7.8943
INFO:root:234: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0009, L-val: 7.8501
INFO:root:235: Acc-tr: 100.00, Acc-val:   9.73, L-tr: 0.0008, L-val: 7.8754
INFO:root:236: Acc-tr: 100.00, Acc-val:   9.93, L-tr: 0.0009, L-val: 7.8781
INFO:root:237: Acc-tr: 100.00, Acc-val:   9.78, L-tr: 0.0008, L-val: 7.8814
INFO:root:238: Acc-tr: 100.00, Acc-val:   9.96, L-tr: 0.0008, L-val: 7.9089
INFO:root:239: Acc-tr: 100.00, Acc-val:   9.89, L-tr: 0.0008, L-val: 7.9303
INFO:root:240: Acc-tr: 100.00, Acc-val:   9.75, L-tr: 0.0008, L-val: 7.9194
INFO:root:241: Acc-tr: 100.00, Acc-val:   9.99, L-tr: 0.0008, L-val: 7.8660
